sample,ID,Bc12,Bc18,Bc24,Ch22,Ch40,Ss30,B_cinerea,C_higginsianum,S_sclerotium
SRR3383696,Bc12,1,0,0,0,0,0,1,0,0
SRR3383697,Bc12.1,1,0,0,0,0,0,1,0,0
SRR3383780,Bc18,0,1,0,0,0,0,1,0,0
SRR3383779,Bc18.1,0,1,0,0,0,0,1,0,0
SRR10586397,Bc24,0,0,1,0,0,0,1,0,0
SRR10586399,Bc24.1,0,0,1,0,0,0,1,0,0
SRR364390,Ch22,0,0,0,1,0,0,0,1,0
SRR364389,Ch22.1,0,0,0,1,0,0,0,1,0
SRR364391,Ch22.2,0,0,0,1,0,0,0,1,0
SRR364392,Ch22.3,0,0,0,1,0,0,0,1,0
SRR364401,Ch40,0,0,0,0,1,0,0,1,0
SRR364400,Ch40.1,0,0,0,0,1,0,0,1,0
SRR364398,Ch40.2,0,0,0,0,1,0,0,1,0
SRR364399,Ch40.3,0,0,0,0,1,0,0,1,0
SRR6283148,Ss30,0,0,0,0,0,1,0,0,1
SRR6283147,Ss30.1,0,0,0,0,0,1,0,0,1
SRR6283146,Ss30.2,0,0,0,0,0,1,0,0,1
SRR3383640,healthy12,,,,,,,,,
SRR3383641,healthy12.1,,,,,,,,,
SRR3383782,healthy18,,,,,,,,,
SRR3383783,healthy18.1,,,,,,,,,
SRR3383821,healthy24,,,,,,,,,
SRR3383822,healthy24.1,,,,,,,,,
SRR6283144,healthy30,,,,,,,,,
SRR6283145,Healthy30.1,,,,,,,,,
